Year,Month,IncType,ParentPropertyType,NumFireDeaths,NumAllFireInjuries,IncGeo_BoroughName,IncGeo_WardName,IgnitionSource,ItemFirstIgnited,LocationFireStarted,ApplianceManufacturer,MainCauseModel,Date
2009,February,primary fire,purpose built flats/maisonettes,0,0,Kensington and chelsea,Golborne,fridge/freezer,plastic - raw material only,kitchen,Hotpoint,,2009-02-01
2009,April,primary fire,purpose built flats/maisonettes,0,0,Hackney,Woodberry down,,rubber - raw material only,kitchen,Hoover,nextra hnl 71463d,2009-04-01
2009,January,primary fire,purpose built flats/maisonettes,0,1,Ealing,North greenford,fridge/freezer,wiring insulation,kitchen,Kelvinator,,2009-01-01
2009,March,primary fire,purpose built flats/maisonettes,0,0,Hackney,De beauvoir,washer/dryer combined,other item,kitchen,Hotpoint,bhwd 129,2009-03-01
2009,March,primary fire,purpose built flats/maisonettes,0,0,Kensington and chelsea,Brompton & hans town,dishwasher,plastic - raw material only,kitchen,Bosch,sms44,2009-03-01
2009,May,late call,purpose built flats/maisonettes,0,1,Southwark,London bridge & west bermondsey,,wiring insulation,kitchen,Hoover,performer 1100,2009-05-01
2009,February,primary fire,converted flats/maisonettes,0,0,Ealing,Hanger hill,tumble dryer - standard,clothing,utility room, lavatherm,37700-w,2009-02-01
2009,May,primary fire,converted flats/maisonettes,0,0,Southwark,Peckham,,plastic - raw material only,kitchen,Hotpoint,aquarius wm31,2009-05-01
2009,February,primary fire,converted flats/maisonettes,0,0,Camden,Belsize,tumble dryer - standard,wiring insulation,kitchen,Hoover,hnc382t,2009-02-01
2009,April,primary fire,converted flats/maisonettes,0,0,Camden,South hampstead,dishwasher,internal fittings,kitchen,,,2009-04-01
2009,December,primary fire,purpose built flats/maisonettes,0,0,Redbridge,Loxford,tumble dryer - standard,plastic - raw material only,kitchen,Candy,cdc 266,2009-12-01
2009,June,primary fire,purpose built flats/maisonettes,0,0,Bromley,Shortlands & park langley,washer/dryer combined,,kitchen,Hoover,wa115,2009-06-01
2009,August,primary fire,purpose built flats/maisonettes,0,0,Westminster,Hyde park,,plastic - raw material only,kitchen,Bendix,,2009-08-01
2009,August,primary fire,purpose built flats/maisonettes,0,0,Barnet,Cricklewood,,wiring insulation,kitchen,Hotpoint,wd640,2009-08-01
2009,October,primary fire,converted flats/maisonettes,0,0,Westminster,Queen's park,tumble dryer - standard,wiring insulation,corridor/hall,White knight,38aw,2009-10-01
2009,October,primary fire,converted flats/maisonettes,0,0,Lambeth,West dulwich,,wiring insulation,utility room,Indesit,wia 121  195050324.03,2009-10-01
2009,September,primary fire,converted flats/maisonettes,0,0,Wandsworth,Furzedown,dishwasher,other/unspecified furnishings,kitchen,Nec,wqp 12 9319,2009-09-01
2009,September,primary fire,converted flats/maisonettes,0,0,Greenwich,Shooters hill,,other item,kitchen,Service,,2009-09-01
2009,December,primary fire,converted flats/maisonettes,0,0,Hounslow,Brentford west,spin dryer,clothing,living room,Creda,debonair,2009-12-01
2009,September,primary fire,converted flats/maisonettes,0,0,Redbridge,Goodmayes,,plastic - raw material only,kitchen,Zanussi,essential 1600,2009-09-01
2009,December,primary fire,converted flats/maisonettes,0,0,Brent,Kilburn,,wiring insulation,kitchen,Belling,compact,2009-12-01
2009,October,primary fire,converted flats/maisonettes,0,0,Kensington and chelsea,Courtfield,dishwasher,other item,kitchen,,,2009-10-01
2009,November,primary fire,converted flats/maisonettes,0,0,Ealing,Walpole,washer/dryer combined,wiring insulation,kitchen,Candy,aquaviva 1300,2009-11-01
2009,August,primary fire,converted flats/maisonettes,0,0,Westminster,Harrow road,,plastic - raw material only,kitchen,Candy,auto sprint cna 145-80,2009-08-01
2009,August,primary fire,converted flats/maisonettes,0,0,Croydon,Crystal palace & upper norwood,,foam - raw material only,kitchen,Indesit,wg1130t,2009-08-01
