Year,Month,IncType,ParentPropertyType,NumFireDeaths,NumAllFireInjuries,IncGeo_BoroughCode,IncGeo_BoroughName,IncGeo_WardCode,IncGeo_WardName,IgnitionSourcePower,IgnitionSource,ItemFirstIgnited,LocationFireStarted,ApplianceManufacturer,ApplianceManufacturerOther,MainCauseModel
2010,March,Primary Fire,Dwelling,0,0,E09000006,Bromley,E05013993,Chislehurst,Electricity,Washing machine,Wiring insulation,Kitchen,SIEMENS,NULL,WXLI 4240
2010,March,Primary Fire,Dwelling,0,0,E09000017,Hillingdon,E05013578,Ruislip Manor,Electricity,Fridge/Freezer,Wiring insulation,Kitchen,AEG,NULL,Not Known
2010,April,Primary Fire,Dwelling,0,0,E09000002,Barking and Dagenham,E05014057,Becontree,Electricity,Dishwasher,Other item,Kitchen,CANDY,NULL,Aquarias 
2010,January,Primary Fire,Dwelling,0,0,E09000008,Croydon,E05011467,Crystal Palace & Upper Norwood,Electricity,Tumble dryer - Standard,Wiring insulation,Garage,Other,unknown,hotpoint
2010,April,Primary Fire,Dwelling,0,0,E09000009,Ealing,E05013536,South Acton,Electricity,Tumble dryer - Standard,Clothing,Kitchen,HOTPOINT,NULL,112
2010,April,Primary Fire,Dwelling,0,0,E09000002,Barking and Dagenham,E05014054,Alibon,Electricity,Tumble dryer - Standard,Wiring insulation,Garage,WHITE KNIGHT,NULL,unknown
2010,April,Primary Fire,Dwelling,0,1,E09000022,Lambeth,E05014106,Knight's Hill,Electricity,Fridge/Freezer,Wiring insulation,Kitchen,PHILIPS,NULL,AMB 596/PH
2010,March,Primary Fire,Dwelling,0,0,E09000029,Sutton,E05013755,Belmont,Electricity,Dishwasher,Rubber - raw material only,Kitchen,BOSCH,NULL,exxcel
2010,March,Primary Fire,Dwelling,0,0,E09000010,Enfield,E05013677,Carterhatch,Electricity,Tumble dryer - Standard,Other item,Kitchen,NULL,NULL,NULL
2010,March,Primary Fire,Dwelling,0,0,E09000003,Barnet,E05013634,Cricklewood,Electricity,Fridge/Freezer,Plastic - raw material only,Kitchen,Other,not known,unknown
2010,February,Primary Fire,Dwelling,0,0,E09000010,Enfield,E05013695,Whitewebbs,Electricity,Washing machine,Not known,Kitchen,NULL,NULL,NULL
2010,March,Primary Fire,Dwelling,0,0,E09000031,Waltham Forest,E05013890,Hatch Lane & Highams Park North,Electricity,Dishwasher,Plastic - raw material only,Kitchen,BOSCH,NULL,Exxcel
